id,name,type,category,power,accuracy,pp
163,뼈다귀부메랑,땅,물리,50,90,10
164,잠자기,에스퍼,변화,0,0,10
165,바위낙하,바위,물리,50,90,15
166,날카로운바늘,벌레,물리,25,95,20
167,꺾꺾,노말,변화,0,100,40
168,거미줄,벌레,변화,0,0,10
169,거울샷,강철,특수,65,85,10
170,악몽,고스트,변화,0,100,15
171,불꽃바퀴,불꽃,물리,60,100,25
172,코골기,노말,특수,50,100,15
173,저주,고스트,변화,0,0,10
174,누르기,노말,물리,85,100,15
175,망각,에스퍼,변화,0,0,20
176,어시스트파워,에스퍼,특수,20,100,10
177,시드머신건,풀,물리,25,100,30
178,에어로블라스트,비행,특수,100,95,5
179,면화포자,풀,변화,0,100,40
180,되돌리기,격투,물리,0,100,20
181,보복,격투,물리,60,100,10
182,보호,노말,변화,0,0,10
183,무서운얼굴,노말,변화,0,100,10
184,천사의키스,페어리,변화,0,75,10
185,뱃살북,노말,물리,90,90,10
186,진흙폭탄,땅,특수,65,85,10
187,문어포,물,특수,65,85,10
188,못살겠다,노말,물리,90,100,5
189,스피드스타,노말,특수,60,0,20
190,단단해지기,노말,변화,0,0,10
191,전광석화,노말,물리,40,100,30
192,뼈다귀러시,땅,물리,25,90,10
193,록블라스트,바위,물리,25,90,10
194,마법의가루,에스퍼,변화,0,100,20
195,분노의앞니,노말,물리,0,90,10
196,순간이동,에스퍼,변화,0,0,20
197,사이코시프트,에스퍼,변화,0,100,10
198,파워젬,바위,특수,80,100,20
199,원시의힘,바위,특수,60,100,5
200,섀도볼,고스트,특수,80,100,15
201,미래예지,에스퍼,특수,120,100,10
202,바위깨기,격투,물리,40,100,15
203,소용돌이,물,특수,35,85,15
204,몸치기,노말,물리,90,85,20
205,끓는물,물,특수,80,100,15
206,아름다운노래,노말,변화,0,55,15
207,얼음엄니,얼음,물리,65,95,15
208,번개엄니,전기,물리,65,95,15
209,불꽃엄니,불꽃,물리,65,95,15
210,그림자분신,노말,변화,0,0,15
211,리플렉터,에스퍼,변화,0,0,20
212,금속음,강철,변화,0,85,40
213,블레이즈킥,불꽃,물리,85,90,10
214,멸망의노래,노말,변화,0,0,5
215,아이스볼,얼음,물리,30,90,20
216,니들암,벌레,물리,50,100,25
217,게으름,노말,변화,0,0,5
218,하이퍼보이스,노말,특수,90,100,10
219,기가드레인,풀,특수,75,100,10
220,불꽃회오리,불꽃,특수,35,85,15
221,모래바람,바위,변화,0,0,10
222,절대영도,얼음,특수,0,30,5
223,탁류,물,특수,90,85,10
224,총알씨,풀,물리,25,100,30
225,고드름침,얼음,물리,25,100,30
226,아이언테일,강철,물리,100,75,15
227,메탈클로,강철,물리,50,95,35
228,바이탈스로,노말,물리,70,100,10
229,모닝선,노말,변화,0,0,5
230,이상한빛,에스퍼,변화,0,100,10
231,심리스압,에스퍼,변화,0,100,20
232,사념의박치기,에스퍼,물리,80,90,15
233,거대한힘,노말,물리,120,100,15
234,리프레시,노말,변화,0,0,20
235,흑은후리기,노말,물리,0,100,20
236,신성한불꽃,불꽃,물리,100,95,5
237,매그니튜드,땅,물리,0,100,30
238,다이나믹펀치,격투,물리,100,50,5
239,메가혼,벌레,물리,120,85,10
240,용의숨결,드래곤,특수,60,100,20
241,배턴터치,노말,변화,0,0,40
242,앵콜,노말,변화,0,100,5
243,추격,어둠,물리,40,100,20
244,고속스핀,노말,물리,20,100,40
245,달콤한향기,노말,변화,0,100,20
246,아이언테일,강철,물리,100,75,15
247,메탈클로,강철,물리,50,95,35
248,바이탈스로,노말,물리,70,100,10
249,모닝선,노말,변화,0,0,5
250,크로스찹,격투,물리,100,80,5
251,회오리바람,비행,특수,40,100,35
252,비바라기,물,변화,0,0,5
253,화창함,불꽃,변화,0,0,5
254,크런치,어둠,물리,80,100,15
255,미러코트,에스퍼,특수,0,100,20
256,사이코업,에스퍼,변화,0,0,20
257,신속,노말,물리,80,100,5
258,원시의힘,바위,특수,60,100,5
259,섀도볼,고스트,특수,80,100,15
260,미래예지,에스퍼,특수,120,100,10
261,바위깨기,격투,물리,40,100,15
262,소용돌이,물,특수,35,85,15
263,박치기,노말,물리,70,100,15
264,집중펀치,격투,물리,150,100,20
265,깨트리기,격투,물리,75,100,15
266,도발,어둠,변화,0,100,20
267,도우미,노말,변화,0,0,20
268,속임수,어둠,물리,95,100,15
269,소원,노말,변화,0,0,10
270,보조력,에스퍼,변화,0,0,20
271,뿌리박기,풀,변화,0,0,20
272,마법의힘,에스퍼,특수,85,100,10
273,재활용,노말,변화,0,0,10
274,복수,격투,물리,60,100,10
275,벽돌깨기,격투,물리,75,100,15
276,하품,노말,변화,0,0,10
277,손뼘치기,격투,물리,60,100,20
278,찬바람,얼음,특수,55,95,15
279,감아채기,노말,물리,0,100,20
280,천둥의이빨,전기,물리,65,95,15
281,얼음의이빨,얼음,물리,65,95,15
282,불꽃의이빨,불꽃,물리,65,95,15
283,그림자분신,노말,변화,0,0,15
284,어시스트,노말,변화,0,0,20
285,기습,어둠,물리,70,100,5
286,간지르기,노말,변화,0,100,20
287,코스믹파워,에스퍼,변화,0,0,20
288,물스파우트,물,특수,150,100,5
289,시그널빔,벌레,특수,75,100,15
290,섀도펀치,고스트,물리,60,0,20
291,신통력,에스퍼,특수,120,100,10
292,스카이어퍼컷,격투,물리,85,90,15
293,모래지옥,땅,물리,35,85,15
294,절대영도,얼음,특수,0,0,5
295,흙먼지,땅,변화,0,100,20
296,블라스트번,불꽃,특수,150,90,5
297,하이드로캐논,물,특수,150,90,5
298,코멧펀치,강철,물리,90,90,10
299,불꽃의춤,불꽃,변화,0,0,20
300,고드름미사일,얼음,물리,25,90,10
301,철벽,강철,변화,0,0,15
302,블록,노말,변화,0,0,5
303,울음소리,노말,변화,0,100,40
304,페인트,노말,변화,0,100,10
305,플러스파워,노말,변화,0,100,10
306,근성,격투,변화,0,0,30
307,각인,노말,변화,0,0,5
308,눈사태,얼음,물리,60,100,10
309,아이스샤드,얼음,물리,40,100,30
310,섀도클로,고스트,물리,70,100,15
311,천둥,전기,특수,110,70,10
312,화염바퀴,불꽃,물리,60,100,25
313,락블라스트,바위,물리,25,90,10
314,충격파,전기,특수,60,0,20
315,물의파동,물,특수,60,100,20
316,파멸의소원,강철,특수,140,100,5
317,사이코부스트,에스퍼,특수,140,90,5
318,공기베기,비행,특수,75,95,15
319,오버히트,불꽃,특수,130,90,5
320,냄새탐지,노말,변화,0,0,40
321,돌진,노말,물리,90,85,20
322,용의춤,드래곤,변화,0,0,20
323,볼트태클,전기,물리,120,100,15
324,매지컬리프,풀,특수,60,0,20
325,물놀이,물,변화,0,0,15
326,명상,에스퍼,변화,0,0,40
327,리프블레이드,풀,물리,90,100,15
328,용의춤,드래곤,변화,0,0,20
329,락블라스트,바위,물리,25,90,10
330,충격파,전기,특수,60,0,20
331,물의파동,물,특수,60,100,20
332,파멸의소원,강철,특수,140,100,5
333,사이코부스트,에스퍼,특수,140,90,5
334,공기베기,비행,특수,75,95,15
335,오버히트,불꽃,특수,130,90,5
336,냄새탐지,노말,변화,0,0,40
337,돌진,노말,물리,90,85,20
338,플레어드라이브,불꽃,물리,120,100,15
339,강철날개,강철,물리,70,90,25
340,대지의힘,땅,특수,90,100,10
341,교체,에스퍼,변화,0,100,10
342,기가임팩트,노말,물리,150,90,5
343,악의파동,악,특수,80,100,15
344,다크펄스,악,특수,80,100,15
345,밤의습격,고스트,물리,70,100,15
346,아쿠아테일,물,물리,90,90,10
347,씨폭탄,풀,물리,80,100,15
348,에어슬래시,비행,특수,75,95,15
349,벌레의저항,벌레,특수,50,100,20
350,드래곤펄스,드래곤,특수,85,100,10
351,드래곤러시,드래곤,물리,100,75,10
352,파워젬,바위,특수,80,100,20
353,드레인펀치,격투,물리,75,100,10
354,진공파,격투,특수,40,100,30
355,포커스블래스트,격투,특수,120,70,5
356,에너지볼,풀,특수,90,100,10
357,브레이브버드,비행,물리,120,100,15
358,어스파워,땅,특수,90,100,10
359,스위치루,에스퍼,변화,0,100,10
360,기가임팩트,노말,물리,150,90,5
361,악의파동,악,특수,80,100,15
362,다크펄스,악,특수,80,100,15
363,밤의습격,고스트,물리,70,100,15
364,아쿠아테일,물,물리,90,90,10
365,씨폭탄,풀,물리,80,100,15
366,에어슬래시,비행,특수,75,95,15
367,벌레의저항,벌레,특수,50,100,20
368,드래곤펄스,드래곤,특수,85,100,10
369,드래곤러시,드래곤,물리,100,75,10
370,불대문자,불꽃,특수,110,85,5
371,벌레의비명,벌레,특수,90,100,10
372,차지빔,전기,특수,50,90,10
373,우드해머,풀,물리,120,100,15
374,아쿠아제트,물,물리,40,100,20
375,어택오더,벌레,물리,90,100,15
376,디펜드오더,벌레,변화,0,0,10
377,힐오더,벌레,변화,0,0,10
378,헤드스매시,바위,물리,150,80,5
379,더블히트,노말,물리,35,90,10
380,로어링타임즈,어둠,특수,55,95,15
381,스페이스렌딩,에스퍼,물리,100,95,5
382,문포스,페어리,특수,95,100,15
383,미라클아이,에스퍼,변화,0,0,40
384,웨이크업슬랩,격투,물리,70,100,10
385,암해머,격투,물리,100,90,10
386,자이로볼,강철,물리,0,100,5
387,힐링위시,에스퍼,변화,0,0,10
388,브라인,물,특수,65,100,10
389,내츄럴기프트,노말,물리,0,100,15
390,페인트,노말,변화,0,100,10
391,플럭,비행,물리,60,100,20
392,테일윈드,비행,변화,0,0,15
393,침뱉기,벌레,특수,90,100,10
394,크로스포이즌,독,물리,70,100,20
395,가스트로산,독,변화,0,100,10
396,러키찬트,노말,변화,0,0,30
397,미티어마쉬,바위,특수,0,0,20
398,피더댄스,노말,변화,0,100,20
399,그래비티,에스퍼,변화,0,0,5
400,미라클아이,에스퍼,변화,0,0,40
401,웨이크업슬랩,격투,물리,70,100,10
402,암해머,격투,물리,100,90,10
403,자이로볼,강철,물리,0,100,5
404,힐링위시,에스퍼,변화,0,0,10
405,브라인,물,특수,65,100,10
406,내츄럴기프트,노말,물리,0,100,15
407,페인트,노말,변화,0,100,10
408,플럭,비행,물리,60,100,20
409,테일윈드,비행,변화,0,0,15
410,침뱉기,벌레,특수,90,100,10
411,크로스포이즌,독,물리,70,100,20
412,가스트로산,독,변화,0,100,10
413,러키찬트,노말,변화,0,0,30
414,미티어마쉬,바위,특수,0,0,20
415,피더댄스,노말,변화,0,100,20
416,그래비티,에스퍼,변화,0,0,5
417,마법코트,에스퍼,변화,0,0,15
418,리사이클,노말,변화,0,0,10
419,리벤지,격투,물리,60,100,10
420,벽돌깨기,격투,물리,75,100,15
421,하품,노말,변화,0,0,10
422,손뼘치기,격투,물리,60,100,20
423,찬바람,얼음,특수,55,95,15
424,비밀의힘,노말,물리,70,100,20
425,다이빙,물,물리,80,100,10
426,돌림차기,격투,물리,60,85,15
427,리프스톰,풀,특수,130,90,5
428,파워웹,벌레,변화,0,0,10
429,사이코시프트,에스퍼,변화,0,100,10
430,트럼프카드,노말,특수,0,0,5
431,힐블록,에스퍼,변화,0,100,15
432,링거링,노말,변화,0,90,10
433,매직룸,에스퍼,변화,0,0,10
434,스매시,노말,물리,100,90,10
435,스톰스로,비행,물리,60,100,20
436,캡티베이트,노말,변화,0,100,20
437,가드스왑,에스퍼,변화,0,0,10
438,파워스왑,에스퍼,변화,0,0,10
439,하트스왑,에스퍼,변화,0,0,10
440,아쿠아링,물,변화,0,0,20
441,마그넷라이즈,전기,변화,0,0,10
442,플레어블리츠,불꽃,물리,120,100,15
443,포스팜,에스퍼,물리,60,100,10
444,오어댄스,에스퍼,변화,0,100,15
445,클로즈컴뱃,격투,물리,120,100,5
446,페이인트,독,특수,70,100,20
447,가스트로애시드,독,변화,0,100,10
448,러키찬트,노말,변화,0,0,30
449,미라이프,노말,변화,0,0,40
450,피더댄스,노말,변화,0,100,20
451,그래비티,에스퍼,변화,0,0,5
452,미라클아이,에스퍼,변화,0,0,40
453,웨이크업슬랩,격투,물리,70,100,10
454,암해머,격투,물리,100,90,10
455,자이로볼,강철,물리,0,100,5
456,힐링위시,에스퍼,변화,0,0,10
457,브라인,물,특수,65,100,10
458,내츄럴기프트,노말,물리,0,100,15
459,페인트,노말,변화,0,100,10
460,플럭,비행,물리,60,100,20
461,테일윈드,비행,변화,0,0,15
462,침뱉기,벌레,특수,90,100,10
463,크로스포이즌,독,물리,70,100,20
464,가스트로산,독,변화,0,100,10
465,러키찬트,노말,변화,0,0,30
466,미티어마쉬,바위,특수,0,0,20
467,차지빔,전기,특수,50,90,10
468,나쁜음모,어둠,변화,0,0,20
469,치트코드,노말,특수,999,100,1
